"gender","location","Location_Name","age"
"Female","PHL","Philippines","18 - 29 years"
"Male","JPN","Japan","18 - 29 years"
"Female","CAN","Canada","18 - 29 years"
"Female","ITA","Italy","13 - 17 years"
"Male","RUS","Russia","18 - 29 years"
"Female","CAN","Canada","30 + years"
"Male","HUN","Hungary","30 + years"
"Male","NOR","Norway","18 - 29 years"
"Female","JPN","Japan","18 - 29 years"
NA,"DEU","Germany","18 - 29 years"
"Male","IDN","Indonesia","18 - 29 years"
"Male","CAN","Canada","18 - 29 years"
"Male","USA","United States","18 - 29 years"
"Male","IND","India","18 - 29 years"
"Male","PRT","Portugal","18 - 29 years"
"Female","BGR","Bulgaria","18 - 29 years"
"Male","RUS","Russia","18 - 29 years"
"Male","BRA","Brazil","18 - 29 years"
"Male","SWE","Sweden","18 - 29 years"
"Male","SWE","Sweden","13 - 17 years"
"Female","POL","Poland","18 - 29 years"
"Female","ROU","Romania","18 - 29 years"
"Male","ITA","Italy","18 - 29 years"
"Female","NLD","Netherlands","18 - 29 years"
"Male","NZL","New Zealand","18 - 29 years"
"Female","DEU","Germany","30 + years"
"Female","CAN","Canada","18 - 29 years"
"Female","NLD","Netherlands","18 - 29 years"
"Female","ROU","Romania","18 - 29 years"
"Female","NLD","Netherlands","18 - 29 years"
"Female","DNK","Denmark","18 - 29 years"
"Male","DEU","Germany","18 - 29 years"
"Male","FRA","France","18 - 29 years"
"Female","ITA","Italy","18 - 29 years"
"Male","AUS","Australia","18 - 29 years"
"Female","FIN","Finland","18 - 29 years"
"Male","NLD","Netherlands","18 - 29 years"
"Female","TUR","Turkey","18 - 29 years"
"Male","FRA","France","18 - 29 years"
"Male","CAN","Canada","18 - 29 years"
"Male","ITA","Italy","30 + years"
"Female","BRA","Brazil","18 - 29 years"
"Female","PHL","Philippines","18 - 29 years"
"Male","POL","Poland","18 - 29 years"
"Male","ITA","Italy","18 - 29 years"
"Male","NZL","New Zealand","18 - 29 years"
"Female","POL","Poland","18 - 29 years"
"Male","ITA","Italy","18 - 29 years"
"Male","BRA","Brazil","18 - 29 years"
"Female","POL","Poland","18 - 29 years"
"Male","AUS","Australia","18 - 29 years"
"Male","USA","United States","18 - 29 years"
"Male","MYS","Malaysia","18 - 29 years"
"Female","USA","United States","18 - 29 years"
"Female","AUS","Australia","less than 13 years"
"Female","ROU","Romania","18 - 29 years"
"Male","ITA","Italy","18 - 29 years"
"Male","JPN","Japan","30 + years"
"Male","ROU","Romania","13 - 17 years"
"Male","GRC","Greece","18 - 29 years"
"Female","CHL","Chile","18 - 29 years"
"Male","PHL","Philippines","18 - 29 years"
"Male","MEX","Mexico","18 - 29 years"
"Male","USA","United States","18 - 29 years"
"Female","UKR","Ukraine","30 + years"
"Male","RUS","Russia","30 + years"
"Female","GRC","Greece","18 - 29 years"
"Male","ARG","Argentina","18 - 29 years"
"Male","BRA","Brazil","18 - 29 years"
"Female","BGR","Bulgaria","18 - 29 years"
NA,"AUS","Australia","18 - 29 years"
"Female","PRT","Portugal","18 - 29 years"
"Female","POL","Poland","18 - 29 years"
"Female","POL","Poland","18 - 29 years"
"Male","CAN","Canada","18 - 29 years"
"Female","TUR","Turkey","18 - 29 years"
"Male","AUS","Australia","18 - 29 years"
"Male","IND","India","18 - 29 years"
"Male","POL","Poland","13 - 17 years"
